name,ranking,star score,id,birthYear,gender
Aaron Pierre,251,74,1763709,1994,Male
Abbey Lee,248,74,1036288,1987,Female
Abigail Breslin,76,104,17140,1996,Female
Adam Driver,10,212,1023139,1983,Male
Al Pacino,234,76,1158,1940,Male
Alejandro Edda,273,71,1809025,1984,Male
Alex Wolff,246,74,934281,1997,Male
Alexander Skarsgård,178,87,28846,1976,Male
Ali Wong,111,98,591835,1982,Female
Ana de Armas,28,179,224513,1988,Female
Ana de la Reguera,262,71,57409,1977,Female
Andi Matichak,197,85,1511997,1994,Female
Andrea Riseborough,195,85,127558,1981,Female
Angelina Jolie,30,172,11701,1975,Female
Anjelica Huston,186,87,5657,1951,Female
Annette Bening,132,95,516,1958,Female
Ansel Elgort,300,67,1159982,1994,Male
Anthony Daniels,113,98,6,1946,Male
Anthony Mackie,94,100,53650,1979,Male
Anya Taylor-Joy,16,193,1397778,1996,Female
Asia Kate Dillon,183,87,1776040,1984,Non-Binary
Awkwafina,154,91,1625558,1988,Female
Azhy Robertson,257,73,1939366,2012,Male
Barry Keoghan,131,95,1290466,1992,Male
Ben Affleck,72,115,880,1972,Male
Ben Mendelsohn,125,95,77335,1969,Male
Ben Whishaw,140,93,17064,1980,Male
Benedict Cumberbatch,90,100,71580,1976,Male
Benedict Wong,86,100,30082,1971,Male
Bill Skarsgård,160,90,137905,1990,Male
Blu Hunt,169,88,1827498,1995,Female
Brad Pitt,64,127,287,1963,Male
Brian Tyree Henry,128,95,226366,1982,Male
Brie Larson,14,195,60073,1989,Female
Britt Robertson,266,71,52018,1990,Female
Brooklynn Prince,216,81,1704640,2010,Female
Bruce Willis,233,76,62,1955,Male
Bryan Cranston,243,74,17419,1956,Male
Cardi B,276,71,1562344,1992,Female
Caren Pistorius,202,84,1046903,1990,Female
Carrie Coon,149,91,1308445,1981,Female
Cassidy Freeman,270,71,138770,1982,Female
Celeste O'Connor,155,91,1972881,1998,Non-Binary
Chadwick Boseman,70,117,172069,1976,Male
Chang Chen,171,88,1622,1976,Male
Charlie Heaton,165,88,1448222,1994,Male
Charlie Hunnam,158,90,56365,1980,Male
Charlotte Rampling,174,88,44079,1946,Female
Chin Han,287,70,101015,1969,Male
Chloë Grace Moretz,258,72,56734,1997,Female
Chris Evans,22,186,16828,1981,Male
Chris Hemsworth,37,165,74568,1983,Male
Chris Messina,108,98,61659,1974,Male
Chris Pine,150,91,62064,1980,Male
Chris Pratt,91,100,73457,1979,Male
Christian Bale,219,79,3894,1974,Male
Christopher Convery,242,74,1960997,2008,Male
Christopher Plummer,194,86,290,1929,Male
Clark Gregg,134,95,9048,1962,Male
