Rank,Movie,Release Date,Distributor,Genre,2019 Gross,Tickets Sold
670,Detour, 1945-11-30,Producers Releasi…,Drama,"$1,540",168
602,Olivia, 1954-04-08,Arthur Davis Asso…,Drama,"$9,934","1,084"
539,The White Sheik, 1956-04-25,Janus Films,Comedy,"$22,009","2,402"
556,The Cranes are Flying, 1960-03-21,Warner Bros.,Drama,"$17,923","1,956"
380,War and Peace, 1968-04-28,Continental Distr…,Drama,"$148,557","16,218"
679,Senso, 1968-07-08,Fleetwood Films,Drama,$437,47
355,Mr. Klein, 1977-11-06,Quartet Films,Drama,"$189,718","20,711"
385,The Life of Brian, 1979-08-17,Warner Bros.,Comedy,"$138,071","15,073"
435,Christ Stopped at Eboli, 1980-03-23,Franklin Media,Drama,"$80,868","8,828"
277,The Shining, 1980-05-23,Warner Bros.,Horror,"$551,257","60,181"
619,Gregory’s Girl, 1982-05-26,Samuel Goldwyn Films,Romantic Comedy,"$7,710",841
634,Serie noire, 1982-06-25,Putnam Square Films,Drama,"$5,633",614
244,The Goonies, 1985-06-07,Warner Bros.,Adventure,"$864,378","94,364"
222,National Lampoon’s Christma…, 1989-12-01,Warner Bros.,Comedy,"$1,385,620","151,269"
641,The Garden, 1990-12-31,International Fil…,Drama,"$5,006",546
398,Paris is Burning, 1991-03-13,Academy Entertain…,Documentary,"$125,677","13,720"
293,Cruel Intentions, 1999-03-05,Sony Pictures,Drama,"$463,365","50,585"
201,The Matrix, 1999-03-31,Warner Bros.,Action,"$2,013,136","219,775"
411,Downtown 81, 2001-07-13,,Drama,"$104,785","11,439"
251,Elf, 2003-11-07,New Line,Comedy,"$786,249","85,835"
247,The Polar Express, 2004-11-10,Warner Bros.,Adventure,"$818,250","89,329"
508,Deep Sea 3-D, 2006-03-03,Warner Bros.,Documentary,"$32,831","3,584"
457,Last Year at Marienbad, 2008-01-18,Rialto Pictures,Drama,"$66,598","7,270"
340,Under the Sea 3D, 2009-02-13,Warner Bros.,Documentary,"$246,137","26,871"
269,The Wizard of Oz, 2009-09-23,Warner Bros.,Musical,"$622,486","67,957"
383,Hubble 3D, 2010-03-19,Warner Bros.,Documentary,"$147,277","16,078"
392,Born to be Wild 3D, 2011-04-08,Warner Bros.,Documentary,"$134,027","14,632"
555,To the Arctic 3D, 2012-04-20,Warner Bros.,Documentary,"$18,010","1,966"
533,Island of Lemurs: Madagascar, 2014-04-04,Warner Bros.,Documentary,"$23,187","2,531"
223,It, 2017-09-08,Warner Bros.,Horror,"$1,347,126","147,066"
208,Pandas, 2018-04-06,IMAX Films,Documentary,"$1,816,106","198,265"
658,Filmworker, 2018-05-11,Kino Lorber,Documentary,"$3,016",329
438,Deadpool 2, 2018-05-18,20th Century Fox,Action,"$78,961","8,620"
661,"No Date, No Signature", 2018-08-01,Distrib Films,Drama,"$2,567",280
255,BlacKkKlansman, 2018-08-10,Focus Features,Black Comedy,"$747,775","81,635"
579,Crazy Rich Asians, 2018-08-15,Warner Bros.,Romantic Comedy,"$13,586","1,483"
221,The Wife, 2018-08-17,Sony Pictures Cla…,Drama,"$1,393,052","152,079"
528,Return of the Hero, 2018-08-31,Distrib Films,Drama,"$25,004","2,729"
677,I am Not a Witch, 2018-09-07,Film Movement,Drama,$550,60
447,"Hale County This Morning, T…", 2018-09-14,Cinema Guild,Documentary,"$71,967","7,856"
581,The House with a Clock in i…, 2018-09-21,Universal,Comedy,"$13,295","1,451"
148,Free Solo, 2018-09-28,Greenwich,Documentary,"$6,093,902","665,273"
333,Smallfoot, 2018-09-28,Warner Bros.,Adventure,"$263,482","28,764"
393,Anthropocene: The Human Epoch, 2018-09-28,Mongrel Media,Documentary,"$132,807","14,498"
439,The Old Man and the Gun, 2018-09-28,Fox Searchlight,Comedy,"$78,577","8,578"
535,Night School, 2018-09-28,Universal,Comedy,"$22,550","2,462"
120,A Star is Born, 2018-10-05,Warner Bros.,Drama,"$14,130,981","1,542,684"
434,Venom, 2018-10-05,Sony Pictures,Action,"$82,267","8,981"
604,Studio 54, 2018-10-05,Zeitgeist,Documentary,"$9,355","1,021"
609,Liyana, 2018-10-10,Abramorama Films,Documentary,"$9,223","1,006"
531,Beautiful Boy, 2018-10-12,Amazon Studios,Drama,"$23,952","2,614"
558,Jane and Emma, 2018-10-12,Excel Entertainment,Drama,"$17,405","1,900"
580,First Man, 2018-10-12,Universal,Drama,"$13,510","1,475"
517,Horn From the Heart: The Pa…, 2018-10-17,Abramorama Films,Documentary,"$30,179","3,294"
228,Can You Ever Forgive Me?, 2018-10-19,Fox Searchlight,Drama,"$1,259,896","137,543"
471,The Hate U Give, 2018-10-19,20th Century Fox,Drama,"$50,839","5,550"
493,Wildlife, 2018-10-19,IFC Films,Drama,"$38,112","4,160"
636,Halloween, 2018-10-19,Universal,Horror,"$5,505",601
642,Un Traductor, 2018-10-19,Film Movement,Drama,"$4,879",532
659,Wings of Desire (1987) (Re-…, 2018-10-19,Janus Films,Drama,"$3,004",327
626,Life & Nothing More, 2018-10-24,CFI,Drama,"$6,745",736
415,Burning, 2018-10-26,Well Go USA,Thriller/Suspense,"$101,279","11,056"
632,"Monrovia, Indiana", 2018-10-26,Zipporah,Documentary,"$5,738",626
88,Bohemian Rhapsody, 2018-11-02,20th Century Fox,Drama,"$26,490,206","2,891,943"
446,The Nutcracker and the Four…, 2018-11-02,Walt Disney,Adventure,"$73,093","7,979"
503,Maria by Callas, 2018-11-02,Sony Pictures Cla…,Documentary,"$34,017","3,713"
573,Boy Erased, 2018-11-02,Focus Features,Drama,"$14,490","1,582"
600,A Private War, 2018-11-02,Aviron Pictures,Drama,"$10,098","1,102"
675,Narcissister Organ Player, 2018-11-07,Film Movement,Documentary,"$1,015",110
166,Dr. Seuss’ The Grinch, 2018-11-09,Universal,Adventure,"$4,340,540","473,858"
676,Chef Flynn, 2018-11-09,Kino Lorber,Documentary,$721,78
184,Fantastic Beasts: The Crime…, 2018-11-16,Warner Bros.,Adventure,"$2,774,042","302,843"
190,Instant Family, 2018-11-16,Paramount Pictures,Comedy,"$2,518,231","274,916"
288,Widows, 2018-11-16,20th Century Fox,Thriller/Suspense,"$498,459","54,416"
319,At Eternity’s Gate, 2018-11-16,CBS Films,Drama,"$317,975","34,713"
633,Of Fathers and Sons, 2018-11-16,Kino Lorber,Documentary,"$5,643",616
54,Green Book, 2018-11-21,Universal,Comedy,"$52,927,165","5,778,075"
121,Ralph Breaks The Internet, 2018-11-21,Walt Disney,Adventure,"$13,939,018","1,521,726"
359,Robin Hood, 2018-11-21,Lionsgate,Action,"$179,615","19,608"
362,Creed II, 2018-11-21,MGM,Drama,"$177,000","19,323"
397,The World Before Your Feet, 2018-11-21,Greenwich,Documentary,"$125,857","13,739"
108,The Favourite, 2018-11-23,Fox Searchlight,Black Comedy,"$18,478,318","2,017,283"
210,Shoplifters, 2018-11-23,Magnolia Pictures,Drama,"$1,666,708","181,955"
483,Becoming Astrid, 2018-11-23,Music Box Films,Drama,"$44,399","4,847"
424,Mirai no Mirai, 2018-11-29,GKIDS,Adventure,"$90,193","9,846"
371,The Possession of Hannah Grace, 2018-11-30,Sony Pictures,Horror,"$153,478","16,755"
652,Sicilian Ghost Story, 2018-11-30,Strand,Drama,"$3,935",429
607,Tyrel, 2018-12-05,Magnolia Pictures,Drama,"$9,314","1,016"
630,The Charmer, 2018-12-05,Film Movement,Thriller/Suspense,"$6,118",667
144,Mary Queen of Scots, 2018-12-07,Focus Features,Drama,"$6,742,269","736,056"
232,Ben is Back, 2018-12-07,Roadside Attractions,Drama,"$1,191,342","130,059"
570,Frank and Ava, 2018-12-07,Gravitas Ventures,Drama,"$14,820","1,617"
678,Divide and Conquer: The Sto…, 2018-12-07,Magnolia Pictures,Documentary,$474,51
680,Never-Ending Man: Hayao Miy…, 2018-12-13,GKIDS,Documentary,$376,41
49,Spider-Man: Into The Spider…, 2018-12-14,Sony Pictures,Adventure,"$56,194,964","6,134,821"
70,The Mule, 2018-12-14,Warner Bros.,Drama,"$39,084,073","4,266,820"
131,If Beale Street Could Talk, 2018-12-14,Annapurna Pictures,Drama,"$10,506,525","1,147,000"
219,Capernaum, 2018-12-14,Sony Pictures Cla…,Drama,"$1,488,318","162,480"
235,Mortal Engines, 2018-12-14,Universal,Action,"$1,056,865","115,378"
538,The House That Jack Built, 2018-12-14,IFC Films,Thriller/Suspense,"$22,030","2,405"
